"id","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot"
993,"r00914","SBSF","HBU",477403.15,5632265.32,27,0.09,NA,"fs-014"
994,"r00915","dg","BUR",477418.1,5631987.44,NA,0.08,NA,"fs-006"
995,"r00917","SBSF","HBU",477405.27,5632263.33,27,0.09,NA,"fs-014"
996,"r00918","SBSF","BUR",477402.95,5632263.71,27,0.1,NA,"fs-014"
997,"r00919","SBSF","HBU",477404.33,5632261.95,27,0.08,NA,"fs-014"
998,"r00920","GHKLRRS","BUR",477802.69,5632220.95,23.5,0.4,"Abt.1 mittelhang. dm-002. DELAWI 00268","fs-018"
999,"r00921","GHKLRRS","EIT",477807.44,5632224.06,20.7,0.35,"Abt.1 mittelhang. dm-002. DELAWI 00252","fs-018"
1000,"r00922","GHKLRRS","BUR",477804.36,5632224.44,12.9,0.14,NA,"fs-018"
1001,"r00923","GHKLRRS","BUR",477803.49,5632222.26,9.2,0.13,NA,"fs-018"
1002,"r00924","GHKLRRS","EIT",477802.65,5632227.18,20.6,0.29,NA,"fs-018"
1003,"r00925","GHKLRRS","HBU",477803.03,5632228.98,11.8,0.12,NA,"fs-018"
1004,"r00926","GHKLRRS","BUR",477797.67,5632225.41,24.4,0.35,"Abt.1 mittelhang. dm-002","fs-018"
1005,"r00927","GHKLRRS","BUR",477798.69,5632218.48,25.9,0.49,NA,"fs-018"
1006,"r00928","GHKLRRS","BUR",477799.9,5632216.49,6.6,0.14,NA,"fs-018"
1007,"r00929","GHKLRRS","BUR",477800.85,5632214.64,17.3,0.2,NA,"fs-018"
1008,"r00930","GHKLRRS","BUR",477804.26,5632211.8,17.9,0.25,NA,"fs-018"
1009,"r00931","GHKLRRS","BUR",477803.55,5632217.9,14.7,0.17,NA,"fs-018"
1010,"r00932","GHKLRRS","BUR",477807.25,5632217.31,20.2,0.3,NA,"fs-018"
1011,"r00933","GHKLRRS","BUR",477811.56,5632217.66,24.7,0.39,NA,"fs-018"
1012,"r00934","GHKLRRS","BUR",477819.59,5632293.46,17,0.22,NA,"fs-019"
1013,"r00935","GHKLRRS","EIT",477819.69,5632290.48,21.7,0.43,NA,"fs-019"
1014,"r00936","GHKLRRS","HBU",477814.22,5632293.82,9.9,0.19,NA,"fs-019"
1015,"r00937","GHKLRRS","EIT",477822.65,5632287.38,23.9,0.41,NA,"fs-019"
1016,"r00938","GHKLRRS","BUR",477824.39,5632285.55,11.8,0.22,NA,"fs-019"
1017,"r00939","GHKLRRS","BUR",477831.68,5632288,14.8,0.21,NA,"fs-019"
1018,"r00940","GHKLRRS","BUR",477829.35,5632292.4,22.1,0.41,NA,"fs-019"
1019,"r00941","GHKLRRS","EIT",477830.09,5632295.91,22.2,0.51,NA,"fs-019"
1020,"r00942","GHKLRRS","BUR",477833.66,5632294.17,6.8,0.23,NA,"fs-019"
1021,"r00943","GHKLRRS","BUR",477827.65,5632298.24,10.4,0.16,NA,"fs-019"
1022,"r00944","GHKLRRS","HBU",477824.87,5632302.34,11.9,0.19,NA,"fs-019"
1023,"r00945","GHKLRRS","EIT",477820.26,5632302.26,22.5,0.41,NA,"fs-019"
1024,"r00946","SBSF","BUR",477767.97,5632312.74,25.8,0.35,NA,"fs-009"
1025,"r00947","SBSF","BUR",477766.16,5632309.6,22.3,0.35,NA,"fs-009"
1026,"r00948","SBSF","BUR",477758.92,5632316.87,11.3,0.21,NA,"fs-009"
1027,"r00949","SBSF","BUR",477762.75,5632317.96,25.8,0.29,NA,"fs-009"
1028,"r00950","SBSF","EIT",477766.85,5632317.48,32.7,0.48,NA,"fs-009"
1029,"r00951","SBSF","EIT",477770.63,5632309.98,35.4,0.45,NA,"fs-009"
1030,"r00952","SBSF","BUR",477765.74,5632313.92,24.8,0.19,NA,"fs-009"
1031,"r00953","SBSF","EIT",477759.53,5632310.66,37,0.51,NA,"fs-009"
1032,"r00954","SBSF","EIT",477757.85,5632322.15,34.3,0.45,NA,"fs-009"
1033,"r00955","SBSF","BUR",477602.98,5632166.07,27,0.11,NA,"fs-015"
1034,"r00956","SBSF","BUR",477605.44,5632166.73,27,0.08,NA,"fs-015"
1035,"r00957","SBSF","BUR",477606.33,5632164.98,27,0.13,NA,"fs-015"
1036,"r00958","SBSF","BUR",477607.04,5632164.27,27,0.13,NA,"fs-015"
1037,"r00959","SBSF","BUR",477606.48,5632163.37,27,0.1,"Totholz","fs-015"
1038,"r00962","SBSF","BUR",477855.43,5632210.52,18.4,0.22,NA,"fs-008"
1039,"r00963","SBSF","BUR",477854.53,5632216.16,31,0.44,NA,"fs-008"
1040,"r00964","SBSF","EIT",477857.75,5632210.52,23.4,0.52,NA,"fs-008"
1041,"r00965","SBSF","BUR",477851.89,5632215.04,15.5,0.16,NA,"fs-008"
1042,"r00966","SBSF","BUR",477849,5632218.7,11.7,0.21,NA,"fs-008"
1043,"r00967","SBSF","BUR",477861.32,5632214.02,8.5,0.18,NA,"fs-008"
1044,"r00968","SBSF","BUR",477853.66,5632204.44,40.4,0.35,NA,"fs-008"
1045,"r00969","SBSF","BUR",477851.75,5632205.97,20.6,0.22,NA,"fs-008"
1046,"r00970","SBSF","BUR",477850.96,5632209.34,18.7,0.24,NA,"fs-008"
1047,"r00971","SBSF","BUR",477858.22,5632219.8,10.2,0.21,NA,"fs-008"
1048,"r00972","SBSF","BUR",477854.51,5632201.57,34.5,0.3,NA,"fs-008"
1049,"r00973","SBSF","BUR",477606.29,5632163.23,27,0.18,NA,"fs-015"
