"ID","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot","level"
801,"r00700","jk","BUR",477483.14,5631845.98,NA,0.48,"Abt. 3 mittelhang","dm-005",NA
802,"r00701","jk","EIT",477469.78,5631840.53,NA,0.51,"Abt. 3 mittelhang","dm-005",NA
803,"r00702","jk","EIT",477457.45,5631808.7,26,0.41,"Abt. 3 mittelhang","dm-005",6
804,"r00703","jk","EIT",477551.23,5631955.69,NA,0.43,"Abt. 3 unterhang","dm-004",NA
805,"r00704","jk","EIT",477559.26,5631957.61,NA,0.49,"Abt. 3 unterhang","dm-004",NA
806,"r00705","jk","EIT",477565.52,5631959.25,NA,0.37,"Abt. 3 unterhang","dm-004",NA
807,"r00706","jk","BUR",477570.76,5631958.66,NA,0.47,"Abt. 3 unterhang","dm-004",NA
808,"r00707","jk","EIT",477569.18,5631948.83,NA,0.55,"Abt. 3 unterhang","dm-004",NA
809,"r00708","jk","BUR",477562.19,5631967.53,NA,0.45,"Abt. 3 unterhang","dm-004",NA
810,"r00709","jk","BUR",477552.32,5631967.78,NA,0.51,"Abt. 3 unterhang","dm-004",NA
811,"r00710","jk","BUR",477547.48,5631974.61,NA,0.45,"Abt. 3 unterhang","dm-004",NA
812,"r00711","jk","EIT",477836.84,5632243.69,NA,0.5,"Abt.1 oberhang","dm-003",NA
813,"r00712","jk","BUR",477828.53,5632244.54,NA,0.34,"Abt.1 oberhang","dm-003",NA
